date,Open,Close
2021-01-04,2874.5,2944.449951171875
2021-01-05,2943.669921875,2990.570068359375
2021-01-06,2993.340087890625,2968.2099609375
2021-01-07,2980.75,3031.679931640625
2021-01-08,3040.110107421875,3152.179931640625
2021-01-11,3161.89990234375,3148.449951171875
2021-01-12,3145.8701171875,3125.949951171875
2021-01-13,3128.260009765625,3148.2900390625
2021-01-14,3148.64990234375,3149.929931640625
2021-01-15,3153.840087890625,3085.89990234375
2021-01-18,3079.89990234375,3013.929931640625
2021-01-19,3013.050048828125,3092.659912109375
2021-01-20,3115.0400390625,3114.550048828125
2021-01-21,3123.27001953125,3160.840087890625
2021-01-22,3163.830078125,3140.6298828125
2021-01-25,3144.010009765625,3208.989990234375
2021-01-26,3203.9599609375,3140.31005859375
2021-01-27,3143.4599609375,3122.56005859375
2021-01-28,3114.97998046875,3069.050048828125
2021-01-29,3078.72998046875,2976.2099609375
2021-02-01,2976.81005859375,3056.530029296875
2021-02-02,3065.56005859375,3096.81005859375
2021-02-03,3108.419921875,3129.679931640625
2021-02-04,3135.02001953125,3087.550048828125
2021-02-05,3098.489990234375,3120.6298828125
2021-02-08,3113.6298828125,3091.239990234375
2021-02-09,3102.25,3084.669921875
2021-02-10,3088.1298828125,3100.580078125
2021-02-15,3108.699951171875,3147.0
2021-02-16,3151.85009765625,3163.25
2021-02-17,3162.949951171875,3133.72998046875
2021-02-18,3131.739990234375,3086.659912109375
2021-02-19,3089.9599609375,3107.6201171875
2021-02-22,3114.030029296875,3079.75
2021-02-23,3069.260009765625,3070.090087890625
2021-02-24,3070.580078125,2994.97998046875
2021-02-25,3026.469970703125,3099.68994140625
2021-02-26,3089.489990234375,3012.949951171875
2021-03-02,3021.679931640625,3043.8701171875
2021-03-03,3041.199951171875,3082.989990234375
2021-03-04,3076.8798828125,3043.489990234375
2021-03-05,3036.159912109375,3026.260009765625
2021-03-08,3031.989990234375,2996.110107421875
2021-03-09,2989.9599609375,2976.1201171875
2021-03-10,2980.760009765625,2958.1201171875
2021-03-11,2964.300048828125,3013.699951171875
2021-03-12,3030.72998046875,3054.389892578125
2021-03-15,3057.06005859375,3045.7099609375
2021-03-16,3049.22998046875,3067.169921875
2021-03-17,3067.760009765625,3047.5
2021-03-18,3054.929931640625,3066.010009765625
2021-03-19,3063.010009765625,3039.530029296875
2021-03-22,3040.010009765625,3035.4599609375
2021-03-23,3038.25,3004.739990234375
2021-03-24,2996.320068359375,2996.35009765625
2021-03-25,2995.669921875,3008.330078125
2021-03-26,3012.7900390625,3041.010009765625
2021-03-29,3047.7099609375,3036.0400390625
2021-03-30,3038.43994140625,3070.0
2021-03-31,3073.389892578125,3061.419921875
2021-04-01,3073.77001953125,3087.39990234375
2021-04-02,3104.719970703125,3112.800048828125
2021-04-05,3121.22998046875,3120.830078125
2021-04-06,3123.800048828125,3127.080078125
2021-04-07,3129.070068359375,3137.409912109375
2021-04-08,3137.25,3143.260009765625
2021-04-09,3146.510009765625,3131.8798828125
2021-04-12,3134.8798828125,3135.590087890625
2021-04-13,3138.2099609375,3169.080078125
2021-04-14,3169.949951171875,3182.3798828125
2021-04-15,3180.72998046875,3194.330078125
2021-04-16,3194.080078125,3198.6201171875
2021-04-19,3201.110107421875,3198.840087890625
2021-04-20,3198.31005859375,3220.699951171875
2021-04-21,3214.239990234375,3171.659912109375
2021-04-22,3174.52001953125,3177.52001953125
2021-04-23,3173.469970703125,3181.080078125
2021-04-26,3191.340087890625,3217.530029296875
2021-04-27,3218.300048828125,3215.419921875
