date,Open,Close
2021-01-04,968.8599853515625,977.6199951171875
2021-01-05,976.4299926757812,985.760009765625
2021-01-06,987.25,981.3900146484375
2021-01-07,983.280029296875,988.8599853515625
2021-01-08,990.7000122070312,987.7899780273438
2021-01-11,988.3800048828125,976.6300048828125
2021-01-12,977.1400146484375,973.719970703125
2021-01-13,974.1400146484375,979.1300048828125
2021-01-14,979.0999755859375,980.2899780273438
2021-01-15,981.719970703125,964.4400024414062
2021-01-18,963.1799926757812,944.6699829101562
2021-01-19,945.3300170898438,957.75
2021-01-20,959.52001953125,977.6599731445312
2021-01-21,979.8200073242188,981.4000244140625
2021-01-22,982.2000122070312,979.97998046875
2021-01-25,981.0499877929688,999.2999877929688
2021-01-26,1000.0,994.0
2021-01-27,996.4199829101562,985.9199829101562
2021-01-28,980.7000122070312,961.22998046875
2021-01-29,963.5800170898438,928.72998046875
2021-02-01,927.9199829101562,956.9199829101562
2021-02-02,958.8499755859375,963.8099975585938
2021-02-03,965.989990234375,970.6900024414062
2021-02-04,970.9299926757812,964.5800170898438
2021-02-05,965.6099853515625,967.4199829101562
2021-02-08,966.9400024414062,960.780029296875
2021-02-09,961.3099975585938,957.8499755859375
2021-02-10,958.4500122070312,964.3099975585938
2021-02-15,965.8300170898438,981.969970703125
2021-02-16,982.8099975585938,977.739990234375
2021-02-17,977.9299926757812,979.77001953125
2021-02-18,980.010009765625,967.4199829101562
2021-02-19,967.6500244140625,965.1099853515625
2021-02-22,965.5499877929688,954.2899780273438
2021-02-23,952.22998046875,936.5999755859375
2021-02-24,936.7999877929688,906.3099975585938
2021-02-25,910.1500244140625,936.2100219726562
2021-02-26,930.5399780273438,913.9400024414062
2021-03-02,919.1699829101562,923.1699829101562
2021-03-03,922.52001953125,930.7999877929688
2021-03-04,929.0900268554688,926.2000122070312
2021-03-05,923.3200073242188,923.47998046875
2021-03-08,925.1900024414062,904.77001953125
2021-03-09,904.0399780273438,896.3599853515625
2021-03-10,900.1900024414062,890.0700073242188
2021-03-11,890.969970703125,908.010009765625
2021-03-12,910.4099731445312,925.489990234375
2021-03-15,926.0399780273438,926.9000244140625
2021-03-16,928.1699829101562,940.6500244140625
2021-03-17,941.2000122070312,943.780029296875
2021-03-18,945.1099853515625,949.8300170898438
2021-03-19,946.6099853515625,952.1099853515625
2021-03-22,953.0399780273438,955.3800048828125
2021-03-23,956.0999755859375,946.3099975585938
2021-03-24,946.22998046875,953.8200073242188
2021-03-25,953.260009765625,954.989990234375
2021-03-26,955.6799926757812,956.7000122070312
2021-03-29,956.8800048828125,954.0999755859375
2021-03-30,954.5399780273438,958.0599975585938
2021-03-31,958.3800048828125,956.1699829101562
2021-04-01,956.8699951171875,965.780029296875
2021-04-02,967.5599975585938,970.0900268554688
2021-04-05,971.0399780273438,969.77001953125
2021-04-06,971.1099853515625,968.6300048828125
2021-04-07,969.2999877929688,973.219970703125
2021-04-08,974.1400146484375,982.02001953125
2021-04-09,983.4000244140625,989.3900146484375
2021-04-12,992.3099975585938,1000.6500244140625
2021-04-13,1001.0,1010.3699951171875
2021-04-14,1011.3499755859375,1014.4199829101562
2021-04-15,1014.3400268554688,1013.9000244140625
2021-04-16,1015.7100219726562,1021.6199951171875
2021-04-19,1022.0599975585938,1029.4599609375
2021-04-20,1029.1800537109375,1031.8800048828125
2021-04-21,1031.260009765625,1022.219970703125
2021-04-22,1023.6500244140625,1025.7099609375
2021-04-23,1024.2900390625,1026.8199462890625
2021-04-26,1027.4000244140625,1030.06005859375
2021-04-27,1030.2900390625,1021.010009765625
2021-04-28,1021.1300048828125,998.27001953125
2021-04-29,999.010009765625,990.6900024414062
2021-04-30,991.0800170898438,983.4500122070312
2021-05-03,982.969970703125,961.8099975585938
2021-05-04,961.3200073242188,967.2000122070312
2021-05-06,966.6199951171875,969.989990234375
2021-05-07,970.9600219726562,978.2999877929688
2021-05-10,979.3800048828125,992.7999877929688
2021-05-11,991.4099731445312,978.6099853515625
2021-05-12,978.27001953125,967.0999755859375
2021-05-13,963.3099975585938,951.77001953125
2021-05-14,953.9099731445312,966.719970703125
2021-05-17,968.02001953125,962.5
2021-05-18,962.8300170898438,969.0999755859375
2021-05-20,968.3499755859375,971.1300048828125
2021-05-21,972.2999877929688,965.6300048828125
2021-05-24,965.22998046875,948.3699951171875
2021-05-25,949.780029296875,962.0700073242188
2021-05-26,962.6900024414062,966.0599975585938
2021-05-27,967.010009765625,974.0800170898438
2021-05-28,974.5499877929688,977.4600219726562
2021-05-31,979.0,981.780029296875
2021-06-01,982.25,984.5900268554688
2021-06-02,985.5,981.0999755859375
2021-06-03,981.52001953125,990.1900024414062
2021-06-04,990.1599731445312,987.5800170898438
2021-06-07,989.1599731445312,985.8599853515625
2021-06-08,986.4299926757812,986.1199951171875
2021-06-09,986.5900268554688,978.7899780273438
2021-06-10,979.52001953125,987.77001953125
2021-06-11,989.3900146484375,991.1300048828125
2021-06-14,992.7999877929688,997.4099731445312
2021-06-15,998.0499877929688,997.3699951171875
2021-06-16,997.6799926757812,998.489990234375
2021-06-17,998.27001953125,1003.719970703125
2021-06-18,1004.5700073242188,1015.8800048828125
2021-06-21,1014.5900268554688,1010.989990234375
2021-06-22,1012.010009765625,1011.5599975585938
2021-06-23,1012.780029296875,1016.4600219726562
2021-06-24,1017.1099853515625,1012.6199951171875
2021-06-25,1013.969970703125,1012.1300048828125
2021-06-28,1013.469970703125,1017.9099731445312
2021-06-29,1019.6400146484375,1022.52001953125
2021-06-30,1023.739990234375,1029.9599609375
2021-07-01,1030.47998046875,1035.6400146484375
2021-07-02,1036.280029296875,1038.1800537109375
2021-07-05,1039.7900390625,1047.3299560546875
2021-07-06,1047.5999755859375,1044.9599609375
2021-07-07,1045.0,1047.3599853515625
2021-07-08,1047.9599609375,1034.47998046875
2021-07-09,1031.780029296875,1028.9300537109375
2021-07-12,1030.3599853515625,1034.6400146484375
2021-07-13,1035.6800537109375,1043.31005859375
2021-07-14,1043.5,1044.97998046875
2021-07-15,1046.5699462890625,1054.31005859375
2021-07-16,1053.8499755859375,1051.97998046875
2021-07-19,1049.510009765625,1049.8299560546875
2021-07-20,1040.989990234375,1043.6400146484375
2021-07-21,1051.72998046875,1042.030029296875
2021-07-22,1046.510009765625,1050.25
2021-07-23,1053.010009765625,1055.5
2021-07-26,1059.9100341796875,1047.6300048828125
2021-07-27,1050.8699951171875,1046.550048828125
2021-07-28,1043.18994140625,1035.6800537109375
2021-07-29,1040.449951171875,1044.1300048828125
2021-07-30,1044.280029296875,1031.1400146484375
2021-08-02,1033.1700439453125,1037.800048828125
2021-08-03,1038.9100341796875,1036.1099853515625
2021-08-04,1038.9599609375,1047.9300537109375
2021-08-05,1050.449951171875,1059.5400390625
2021-08-06,1061.3199462890625,1059.800048828125
2021-08-09,1059.2900390625,1060.0
2021-08-10,1060.9000244140625,1052.0699462890625
2021-08-11,1050.47998046875,1051.9200439453125
2021-08-12,1054.1600341796875,1054.0899658203125
