D,gap,s,spy,us_sessions
2021-01-06,0.0009262513393539,0.0054665455721124,0.006887328746690624,1.0
2021-01-07,0.0042247816790357,0.0005468902314835,0.005978513184986323,1.0
2021-01-08,0.0027806945229498,0.0105171982547956,0.014857498305214545,1.0
2021-01-11,0.0030835710251051,0.0012449129916439,0.005697714659280706,1.0
2021-01-12,-0.0008193981242785,0.0006781129658233,-0.006740825836411779,1.0
2021-01-13,0.0007389941073381,0.0012537720154309,0.00021121912844268564,1.0
2021-01-14,0.0001143043610292,0.0008643304518261,0.0026929787492038226,1.0
2021-01-15,0.0012413470568735,0.003537103792369,-0.003501980199372312,1.0
2021-01-18,-0.0019443274862683,-0.0055260791636552,-0.007292657904037436,1.0
2021-01-20,0.0072365302325985,0.0084312666678227,0.007851960589842832,1.0
2021-01-21,0.0027997529551357,0.0020534527441417,0.013838692292137411,1.0
2021-01-22,0.0009459479604265,0.0030736037157806,0.0009116558716901757,1.0
2021-01-25,0.001076257655072,-0.0040997014065169,-0.0035394164744094736,1.0
2021-01-26,-0.0015674805194726,0.0010762880329448,0.003943819855746211,1.0
2021-01-27,0.0010030545662615,-0.0035613827028274,-0.001560930514972858,1.0
2021-01-28,-0.0024275203623829,-0.0152684705627976,-0.024440461382450485,1.0
2021-01-29,0.0031540481538647,0.0061066659778302,0.008600200820512827,1.0
2021-02-01,0.0002016314924437,-0.0074931350453113,-0.020019589176818342,1.0
2021-02-02,0.0029543401210923,0.0112285486421899,0.01664550906637685,1.0
2021-02-03,0.0037489749327803,0.006072240239995,0.01414022446719132,1.0
2021-02-04,0.0017062728481074,-0.003905793959399,0.0007863145594169119,1.0
2021-02-05,0.003543243423828,0.0039123128135758,0.011365709751263164,1.0
2021-02-08,-0.00224313688674,-0.0005791252001086,0.003935858007879212,1.0
2021-02-09,0.0035616806849054,0.0074452100659113,0.0072219400383219945,1.0
2021-02-10,0.0011216632654804,-0.0007219742238972,-0.0006658210010571652,1.0
2021-02-15,0.0026188238465962,0.0111204266604421,0.006124316844170474,3.0
2021-02-17,-9.485460463920514e-05,0.0008333017464869,-0.0008660015352058847,1.0
2021-02-18,-0.0006350228790539,-0.0033818293041664,0.00022948472666350916,1.0
2021-02-19,0.0010691326294738,-0.0029075596782944,-0.004256003887434856,1.0
2021-02-22,0.0020626433951573,0.0044667597554769,-0.0017659767589335296,1.0
2021-02-23,-0.0034061174557593,-0.0087854818332716,-0.007691716045917785,1.0
2021-02-24,0.0001596012561024,-0.0012601056311761,0.0012143793044092632,1.0
2021-02-25,0.0105142573371881,0.0086912380896226,0.011019326486895187,1.0
2021-02-26,-0.0032906359554296,-0.0162109724325393,-0.024095777385022776,1.0
2021-03-02,0.002897486055271,0.014871467097703,0.018962676888096164,2.0
2021-03-03,-0.0008772273168121,-0.0075578376678733,-0.0078032191902133174,1.0
2021-03-04,-0.0019818771521248,-0.0087694400274706,-0.013245705500087857,1.0
2021-03-05,-0.0024084449590831,-0.0121009560623641,-0.012374812685589043,1.0
2021-03-08,0.001893419749215,0.0096783910355651,0.01839658203136052,1.0
2021-03-09,-0.0020527104358214,-0.0117872186463356,-0.004978765054346579,1.0
2021-03-10,0.0015590407629479,0.0152805392006023,0.014277512809395931,1.0
2021-03-11,0.0020891415479438,-0.0025290486624561,0.006224586256551756,1.0
2021-03-12,0.0056508708805775,0.010447287886603,0.010139155868312377,1.0
2021-03-15,0.0008742060147963,-0.0018412817835829,0.0013467811372471772,1.0
2021-03-16,0.0011557303802383,0.0054093952709487,0.005963574374651337,1.0
2021-03-17,0.0001923883924448,0.0023323892958073,-0.001261320338490246,1.0
2021-03-18,0.0024380415555782,0.0032000826624982,0.0034098812634899556,1.0
2021-03-19,-0.0009784703867387,-0.0111850437388344,-0.014549661776192768,1.0
2021-03-22,0.0001579127247053,0.0014488438996115,-0.005108817676184874,1.0
2021-03-23,0.0009191486952238,0.0058287379799899,0.00798496781307656,1.0
2021-03-24,-0.0028022131373647,-0.0068319158868847,-0.00787079743934982,1.0
2021-03-25,-0.0002270014381103,-0.0037607141135314,-0.005083468514321288,1.0
2021-03-26,0.0014825370958893,0.0009608698405163,0.005625576112623598,1.0
2021-03-29,0.0022031993154771,0.0130957099671075,0.016114956588609175,1.0
2021-03-30,0.0007904712430903,-0.0031675046065085,-0.0005051068273195236,1.0
2021-03-31,0.0011041995368485,-0.00100783017962,-0.002652958199523048,1.0
